Feature,Scaler_Min,Scaler_Max
gender,0.0,1.0
Partner,0.0,1.0
Dependents,0.0,1.0
tenure,0.0,72.0
PhoneService,0.0,1.0
PaperlessBilling,0.0,1.0
MonthlyCharges,18.25,118.75
TotalCharges,18.8,8684.8
MultipleLines,0.25129918337045287,0.2808046940486169
InternetService,0.0717230008244023,0.41754670999187654
OnlineSecurity,0.0717230008244023,0.4193202146690519
OnlineBackup,0.0717230008244023,0.40024183796856105
DeviceProtection,0.0717230008244023,0.39082792207792205
TechSupport,0.0717230008244023,0.4168761220825853
StreamingTV,0.0717230008244023,0.3371478873239437
StreamingMovies,0.0717230008244023,0.344
Contract,0.028127313101406367,0.4264896373056995
PaymentMethod,0.1456953642384106,0.4555028962611901
